speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert
Al Gore,"Well, Jim, first of all, I would like to thank the sponsors of this debate and the people of Boston for hosting the debate. I would like to thank Governor Bush for participating, and I would like to say Im happy to be here with Tipper and our family. I have actually not questioned Governor Bushs experience. I have questioned his proposals. And here is why. I think this is a very important moment for our country. We have achieved extraordinary prosperity. And in this election, America has to make an important choice. Will we use our prosperity to enrich not just the few, but all of our families? I believe we have to make the right and responsible choices. If Im entrusted with the presidency, here are the choices that I will make. I will balance the budget every year. I will pay down the national debt. I will put Medicare and Social Security in a lockbox and protect them. And I will cut taxes for middle- class families. I believe its important to resist the temptation to squander our surplus. If we make the right choices, we can have a prosperity that endures and enriches all of our people. If Im entrusted with the presidency, I will help parents and strengthen families because, you know, if we have prosperity that grows and grows, we still wont be successful unless we strengthen families by, for example, ensuring that children can always go to schools that are safe. By giving parents the tools to protect their children against cultural pollution. I will make sure that we invest in our country and our families. And I mean investing in education, health care, the environment, and middle- class tax cuts and retirement security. That is my agenda and that is why I think that its not just a question of experience.",Pres,2000,2000-10-03,1,What choices will you make to ensure that America's prosperity benefits all families rather than just a few?,"And now the first question as determined by a flip of a coin, it goes to Vice President Gore. Vice President Gore, you have questioned whether Governor Bush has the experience to be President of the United States. What exactly do you mean?",0.8707122,0.9256955,0.76155555,0.09633266
Al Gore,"Yes, Jim. I said that his tax cut plan, for example, raises the question of whether its the right choice for the country. And let me give you an example of what I mean. Under Governor Bushs tax cut proposal, he would spend more money on tax cuts for the wealthiest 1% than all of the new spending that he proposes for education, health care, prescription drugs and national defense all combined. Now, I think those are the wrong priorities. Now, under my proposal, for every dollar that I propose in spending for things like education and health care, I will put another dollar into middle class tax cuts. And for every dollar that I spend in those two categories, Ill put $2 toward paying down the national debt. I think its very important to keep the debt going down and completely eliminate it. And I also think its very important to go to the next stage of welfare reform. Our country has cut the welfare rolls in half. I fought hard from my days in the Senate and as vice president to cut the welfare rolls and weve moved millions of people in America into good jobs. But its now time for the next stage of welfare reform, and include fathers and not only mothers.",Pres,2000,2000-10-03,1,What are the priorities and implications of the proposed tax cut plans and spending initiatives for the country?,"So I take it by your answer, then, Mr. Vice President, that in an interview recently with the “New York Times” when you said that you questioned whether or not Governor Bush has experience enough to be president, you were talking about strictly policy differences.",0.8414293,0.9035502,0.65642107,0.143757
George W. Bush,"Yes. I take him for his word. Look, I fully recognize Im not of Washington. Im from Texas. And hes got a lot of experience, but so do I. And Ive been the chief executive officer of the second biggest state in the union. I have a proud record of working with both Republicans and Democrats, which is what our nation needs. Somebody that can come to Washington and say lets forget all the finger pointing and get positive things done on Medicare, prescription drugs, Social Security, and so I take him for his word.",Pres,2000,2000-10-03,1,What qualifications and experiences do you have that make you capable of working collaboratively in Washington to address key issues?,"Let me just follow up one quick question. When you hear Vice President Gore question your experience, do you read it the same way, that hes talking about policy differences only?",0.7990254,0.9150989,0.70251715,0.14525127
George W. Bush,"Actually what Ive said, Jim. Ive said that eight years ago they campaigned on prescription drugs for seniors. And four years ago they campaigned on getting prescription drugs for seniors. And now theyre campaigning on getting prescription drugs for seniors. It seems like they cant get it done. Now, they may blame other folks, but its time to get somebody in Washington who is going to work with both Republicans and Democrats to get some positive things done when it comes to our seniors. And so what Ive said is that theres been some missed opportunities. Theyve had a chance. Theyve had a chance to form consensus. Ive got a plan on Medicare, for example, thats a two- stage plan that says well have immediate help for seniors and what I call immediate Helping Hand, a $48 billion program. But I also want to say to seniors, if youre happy with Medicare the way it is, fine, you can stay in the program. But were going to give you additional choices like they give federal employees in the federal employee health plan. They have a variety of choices to choose, so should seniors. And my point has been, as opposed to politicizing an issue like Medicare, in other words, holding it up as an issue, hoping somebody bites it and try to clobber them over the head with it for political purposes, this year, in the year 2000, its time to get it done once and for all. Thats what Ive been critical about the administration for. Same with Social Security. I think there was a good opportunity to bring Republicans and Democrats together to reform the Social Security system so seniors will never go without. Those on Social Security today will have their promise made, but also to give younger workers the option at their choice of being able to manage some of their own money in the private sector to make sure theres a Social Security system around tomorrow. There are a lot of young workers at our rallies we go to that when they hear Ill trust them at their option to be able to manage, under certain guidelines, some of their own money to get a better rate of return so that theyll have a retirement plan in the future, they begin to nod their heads and they want a different attitude in Washington.",Pres,2000,2000-10-03,1,What has been the failure of previous administrations in addressing the needs of seniors regarding Medicare and Social Security?,"Governor Bush, you have a question. This is a companion question to the question I asked Vice President Gore. You have questioned whether Vice President Gore has demonstrated the leadership qualities necessary to be President of the United States. What do you mean by that?",0.817413,0.91389745,0.72687185,0.13166659
Al Gore,"Excellent question. And here is the simple difference. My plan has not only a short- term component, but also a long- term component. And it focuses not only on increasing the supply, which I think we have to do, but also on working on the consumption side. Now, in the short- term we have to free ourselves from the domination of the big oil companies that have the ability to manipulate the price from OPEC when they want to raise the price. And in the long- term we have to give new incentives for the development of domestic resources like deep gas in the western Gulf, like stripper wells for oil, but also renewable sources of energy. And domestic sources that are cleaner and better. And Im proposing a plan that will give tax credits and tax incentives for the rapid development of new kinds of cars and trucks and buses and factories and boilers and furnaces that dont have as much pollution, that dont burn as much energy, and that help us get out on the cutting edge of the new technologies that will create millions of new jobs. Because, when we sell these new products here, well then be able to sell them overseas. There is a ravenous demand for them overseas. Now, another big difference is Governor Bush is proposing to open up some of our most precious environmental treasures, like the Arctic National Wildlife Refuge for the big oil companies to go in and start producing oil there. I think that is the wrong choice. It would only give us a few months worth of oil and the oil wouldnt start flowing for many years into the future. I dont think its a fair price to pay to destroy precious parts of Americas environment. We have to bet on the future and move beyond the current technologies to have a whole new generation of more efficient, cleaner, energy technology.",Pres,2000,2000-10-03,1,What are the key differences between your energy plan and Governor Bush's approach to energy production in terms of short-term and long-term strategies?,Vice President Gore. How would you contrast your approach to preventing future oil price and supply problems like we have now to the approach of Governor Bush?,0.9133274,0.94495195,0.86593574,0.5662416
Al Gore,"Let me clarify. Im for doing something both on the supply side and production side and on the consumption side. Let me say, that I found one thing in Governor Bushs answer that we certainly agree on, and thats the low income heating assistance program. I commend you for supporting that. I worked to get $400 million just a couple of weeks ago. And to establish a permanent home heating oil reserve here in the northeast. Now, as for the proposals that Ive worked for for renewables and conservation and efficiencies and new technologies. The fact is for the last few years in the Congress, weve faced a lot of opposition to them. Theyve only approved about 10% of the agenda Ive helped to send up there. I think we need to get serious about this energy crisis, both in the Congress and in the White House, and if you entrust me with the presidency, I will tackle this problem and focus on new technologies that will make us less dependent on big oil or foreign oil.",Pres,2000,2000-10-03,1,What specific actions will you take to address the energy crisis and promote renewable energy and conservation?,"So if somebody is watching tonight and listening to what the two of you just said, is it fair to say, okay, the differences between Governor Bush and Vice President Gore are as follows. Youre for doing something on the consumption end and youre for doing something on the production end?",0.7021649,0.9189182,0.6854777,0.2651537
George W. Bush,"Well I would first say he should have been tackling it for the last seven years. Secondly the difference is we need to explore at home. And the vice president doesnt believe in exploration in Alaska. Theres a lot of shut- in gas that we need to be moving out of Alaska by pipeline. Theres an interesting issue up in the northwest as well. Do we remove dams that produce hydroelectric energy? Im against removing dams in the northwest. I donâ€™t know where the vice president stands but thatâ€™s a renewable energy source of energy. We need to keep that in line. I was in coal country in West Virginia yesterday. There is an abundant supply of coal in America. I know we can do a better job of clean coal technologies. Im going to ask the Congress for $2 billion to make sure we have the cleanest coal technologies in the world. My answer to you is in the short- term we need to get after it here in America. We need to explore our resources and we need to develop our reservoirs of domestic production. We also need to have a hemispheric energy policy where Canada, Mexico and the United States come together. I brought this up recently with Vincent Fox the newly elected president in Mexico, hes a man I know from Mexico. I talked to him about how best to expedite the exploration of natural gas in Mexico and transport it up to the United States so we become less dependent on foreign sources of crude oil. This is a major problem facing America. The administration did not deal with it. Its time for a new administration to deal with the energy problem.",Pres,2000,2000-10-03,1,What actions should the United States take to address its energy dependency and explore domestic resources effectively?,"So if somebody is watching tonight and listening to what the two of you just said, is it fair to say, okay, the differences between Governor Bush and Vice President Gore are as follows. Youre for doing something on the consumption end and youre for doing something on the production end?",0.6750587,0.90861315,0.6494359,0.27572012
George W. Bush,"I dont think a president can do that. I was disappointed in the ruling because I think abortions ought to be more rare in America, and Im worried that that pill will create more abortions and cause more people to have abortions. This is a very important topic and its a very sensitive topic, because a lot of good people disagree on the issue. I think what the next president ought to do is to promote a culture of life in America. Life of the elderly and life of those living all across the country. Life of the unborn. As a matter of fact, I think a noble goal for this country is that every child, born or unborn, need to be protected by law and welcomed to life. I know we need to change a lot of minds before we get there in America. What I do believe is that we can find good, common ground on issues of parental consent or parental notification. I know we need to ban partial birth abortions. This is a place where my opponent and I have strong disagreement. I believe banning partial birth abortions would be a positive step to reducing the number of abortions in America. This is an issue that will require a new attitude. Weve been battling over abortion for a long period of time. Surely this nation can come together to promote the value of life. Surely we can fight off these laws that will encourage doctors to — to allow doctors to take the lives of our seniors. Surely we can work together to create a cultural life so some of these youngsters who feel like they can take a neighbors life with a gun will understand that thats not the way America is meant to be. Surely we can find common ground to reduce the number of abortions in America. As to the drug itself, I mentioned I was disappointed. I hope the FDA took its time to make sure that American women will be safe who use this drug.",Pres,2000,2000-10-03,1,What steps can be taken to promote a culture of life and reduce the number of abortions in America?,"New question, new subject. Governor Bush. If elected president, would you try to overturn the FDAs approval last week of the abortion pill RU- 486?",0.82331336,0.91783065,0.7299824,0.32928258
George W. Bush,I dont think a president can unilaterally overturn it. The FDA has made its decision.,Pres,2000,2000-10-03,1,Can a president unilaterally overturn a decision made by the FDA?,"Governor, well go to the Supreme Court question in a moment, but make sure I understand your position on RU- 486. If youre elected president, not through appointments to the FDA, you wont support legislation to overturn this?",0.8488,0.91047156,0.7788106,0.68297434
George W. Bush,"The voters should assume I have no litmus test on that issue or any other issue. Voters will know Ill put competent judges on the bench. People who will strictly interpret the Constitution and not use the bench to write social policy. That is going to be a big difference between my opponent and me. I believe that the judges ought not to take the place of the legislative branch of government. That theyre appointed for life and that they ought to look at the Constitution as sacred. They shouldnt misuse their bench. I dont believe in liberal activist judges. I believe in strict constructionists. Those are the kind of judges I will appoint. Ive named four supreme court justices in the State of Texas and would ask the people to check out their qualifications, their deliberations. Theyre good, solid men and women who have made good, sound judgments on behalf of the people of Texas.",Pres,2000,2000-10-03,1,"What criteria will you use to select judges if elected, and how does it differ from your opponent's approach?","Should a voter assume that all judicial appointments you make to the supreme court or any other court, federal court, will also be pro- life?",0.87496877,0.92007905,0.74072015,0.37827343
