speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit,winner
Lester Holt,"Good evening from Hofstra University in Hempstead, New York. Im Lester Holt, anchor of “NBC Nightly News. ” I want to welcome you to the first presidential debate. The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization. The commission drafted tonights format, and the rules have been agreed to by the campaigns. The 90- minute debate is divided into six segments, each 15 minutes long. Well explore three topic areas tonight; Achieving prosperity; Americas direction; and securing America. At the start of each segment, I will ask the same lead- off question to both candidates, and they will each have up to two minutes to respond. From that point until the end of the segment, well have an open discussion. The questions are mine and have not been shared with the commission or the campaigns. The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. I will invite you to applaud, however, at this moment, as we welcome the candidates; Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump. [applause]",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"How are you, Donald? [applause]",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,"Good luck to you. [applause] Well, I dont expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled. We are going to focus on many of the issues that voters tell us are most important, and were going to press for specifics. I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people. Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So, lets begin. Were calling this opening segment “Achieving Prosperity. ” And central to that is jobs. There are two economic realities in America today. Theres been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"Well, thank you, Lester, and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future well build together. Today is my granddaughters second birthday, so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top. That means we need new jobs, good jobs, with rising incomes. I want us to invest in you. I want us to invest in your future. That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for womens work. I also want to see more companies do profit- sharing. If you help create the profits, you should be able to share in them, not just the executives at the top. And I want us to do more to support people who are struggling to balance family and work. Ive heard from so many of you about the difficult choices you face and the stresses that youre under. So lets have paid family leave, earned sick days. Lets be sure we have affordable child care and debt- free college. How are we going to do it? Were going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I. Donald, its good to be with you. Were going to have a debate where we are talking about the important issues facing our country. You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. I hope that I will be able to earn your vote on November 8th.",Pres,2016,2016-09-26,1,What are the key components of a fair and inclusive economy that the speaker proposes to build for the future?,"Were calling this opening segment “Achieving Prosperity. ” And central to that is jobs. There are two economic realities in America today. Theres been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?",0.8945595622,0.9215734601,0.7886282802,0.3071668744,Democratic,Why are you a better choice than your opponent to create jobs that will put more money into the pockets of American workers?,3.0,3.0,0.0
Lester Holt,"Secretary Clinton, thank you. Mr. Trump, the same question to you. Its about putting money— more money into the pockets of American workers. You have up to two minutes.",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"Thank you, Lester. Our jobs are fleeing the country. Theyre going to Mexico. Theyre going to many other countries. You look at what China is doing to our country in terms of making our product. Theyre devaluing their currency, and theres nobody in our government to fight them. And we have a very good fight. And we have a winning fight. Because theyre using our country as a piggy bank to rebuild China, and many other countries are doing the same thing. So were losing our good jobs, so many of them. When you look at whats happening in Mexico, a friend of mine who builds plants said its the eighth wonder of the world. Theyre building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much. So Ford is leaving. You see that, their small car division leaving. Thousands of jobs leaving Michigan, leaving Ohio. Theyre all leaving. And we cant allow it to happen anymore. As far as child care is concerned and so many other things, I think Hillary and I agree on that. We probably disagree a little bit as to numbers and amounts and what were going to do, but perhaps well be talking about that later. But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and, with it, firing all of their people. All you have to do is take a look at Carrier air conditioning in Indianapolis. They left— fired 1, 400 people. Theyre going to Mexico. So many hundreds and hundreds of companies are doing this. We cannot let it happen. Under my plan, Ill be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses. Thats going to be a job creator like we havent seen since Ronald Reagan. Its going to be a beautiful thing to watch. Companies will come. They will build. They will expand. New companies will start. And I look very, very much forward to doing it. We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.",Pres,2016,2016-09-26,1,What actions should be taken to stop the outsourcing of American jobs and encourage companies to remain in the United States?,"Were calling this opening segment “Achieving Prosperity. ” And central to that is jobs. There are two economic realities in America today. Theres been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?",0.9137591124,0.9341041446,0.8485895395,0.4456511736,Republican,Why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?,3.0,3.0,1.0
Lester Holt,"Secretary Clinton, would you like to respond?",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Hillary Clinton,"Well, I think that trade is an important issue. Of course, we are 5 percent of the worlds population; we have to trade with the other 95 percent. And we need to have smart, fair trade deals. We also, though, need to have a tax system that rewards work and not just financial transactions. And the kind of plan that Donald has put forth would be trickle- down economics all over again. In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than weve ever had. I call it trumped- up trickle- down, because thats exactly what it would be. That is not how we grow the economy. We just have a different view about whats best for growing the economy, how we make investments that will actually produce jobs and rising incomes. I think we come at it from somewhat different perspectives. I understand that. You know, Donald was very fortunate in his life, and thats all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off well be and that everything will work out from there. I dont buy that. I have a different experience. My father was a small- businessman. He worked really hard. He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going. And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better well grow. Thats the kind of economy I want us to see again.",Pres,2016,2016-09-26,1,,,,,,,Democratic,,,,0.0
Lester Holt,"Let me follow up with Mr. Trump, if I can. Youve talked about creating 25 million jobs, and youve promised to bring back millions of jobs for Americans. How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?",Pres,2016,2016-09-26,0,,,,,,,Moderator,,,,
Donald Trump,"Well, for one thing— and before we start on that— my father gave me a very small loan in 1975, and I built it into a company thats worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because thats the kind of thinking that our country needs. Our countrys in deep trouble. We dont know what were doing when it comes to devaluations and all of these countries all over the world, especially China. Theyre the best, the best ever at it. What theyre doing to us is a very, very sad thing. So we have to do that. We have to renegotiate our trade deals. And, Lester, theyre taking our jobs, theyre giving incentives, theyre doing things that, frankly, we dont do. Let me give you the example of Mexico. They have a VAT tax. Were on a different system. When we sell into Mexico, theres a tax. When they sell in— automatic, 16 percent, approximately. When they sell into us, theres no tax. Its a defective agreement. Its been defective for a long time, many years, but the politicians havent done anything about it. Now, in all fairness to Secretary Clinton— yes, is that ok? Good. I want you to be very happy. Its very important to me. But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently. Shes been doing this for 30 years. And why hasnt she made the agreements better? The NAFTA agreement is defective. Just because of the tax and many other reasons, but just because of the fact…",Pres,2016,2016-09-26,1,What changes should be made to trade agreements to protect American jobs and address economic challenges?,"Let me follow up with Mr. Trump, if I can. Youve talked about creating 25 million jobs, and youve promised to bring back millions of jobs for Americans. How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?",0.8827061057,0.9201219082,0.8082648516,0.5521814823,Republican,How are you going to bring back the industries that have left this country for cheaper labor overseas?,2.0,3.0,1.0
