speaker,text,type,election_year,date,candidate,qud
Jim Lehrer,"Good evening from the Magness Arena at the University of Denver in Denver, Colorado. Im Jim Lehrer of the “PBS NewsHour, ” and I welcome you to the first of the 2012 presidential debates between President Barack Obama, the Democratic nominee, and former Massachusetts Governor Mitt Romney, the Republican nominee.",Pres,2012.0,2012-10-03,0.0,
Jim Lehrer,"This debate and the next three — two presidential, one vice presidential — are sponsored by the Commission on Presidential Debates. Tonights 90 minutes will be about domestic issues and will follow a format designed by the commission. There will be six roughly 15- minute segments with two- minute answers for the first question, then open discussion for the remainder of each segment. Thousands of people offered suggestions on segment subjects or questions via the Internet and other means, but I made the final selections. And for the record, they were not submitted for approval to the commission or the candidates. The segments as I announced in advance will be three on the economy and one each on health care, the role of government and governing, with an emphasis throughout on differences, specifics and choices. Both candidates will also have two- minute closing statements. The audience here in the hall has promised to remain silent — no cheers, applause, boos, hisses, among other noisy distracting things, so we may all concentrate on what the candidates have to say. There is a noise exception right now, though, as we welcome President Obama and Governor Romney. (APPLAUSE) Gentlemen, welcome to you both. Lets start the economy, segment one, and lets begin with jobs. What are the major differences between the two of you about how you would go about creating new jobs?",Pres,2012.0,2012-10-03,0.0,
Jim Lehrer,"You have two minutes. Each of you have two minutes to start. A coin toss has determined, Mr. President, you go first.",Pres,2012.0,2012-10-03,0.0,
Barack Obama,"Well, thank you very much, Jim, for this opportunity. I want to thank Governor Romney and the University of Denver for your hospitality. There are a lot of points I want to make tonight, but the most important one is that 20 years ago I became the luckiest man on Earth because Michelle Obama agreed to marry me. And so I just want to wish, Sweetie, you happy anniversary and let you know that a year from now we will not be celebrating it in front of 40 million people. (LAUGHTER) You know, four years ago we went through the worst financial crisis since the Great Depression. Millions of jobs were lost, the auto industry was on the brink of collapse. The financial system had frozen up. And because of the resilience and the determination of the American people, weve begun to fight our way back. Over the last 30 months, weve seen 5 million jobs in the private sector created. The auto industry has come roaring back. And housing has begun to rise. But we all know that weve still got a lot of work to do. And so the question here tonight is not where weve been, but where were going. Governor Romney has a perspective that says if we cut taxes, skewed towards the wealthy, and roll back regulations, that well be better off. Ive got a different view. I think weve got to invest in education and training. I think its important for us to develop new sources of energy here in America, that we change our tax code to make sure that were helping small businesses and companies that are investing here in the United States, that we take some of the money that were saving as we wind down two wars to rebuild America and that we reduce our deficit in a balanced way that allows us to make these critical investments. Now, it ultimately is going to be up to the voters — to you — which path we should take. Are we going to double on top- down economic policies that helped to get us into this mess or do we embrace a new economic patriotism that says America does best when the middle class does best? And Im looking forward to having that debate.",Pres,2012.0,2012-10-03,1.0,What is the key difference between the speaker's economic approach and that of Governor Romney?
Jim Lehrer,"Governor Romney, two minutes.",Pres,2012.0,2012-10-03,0.0,
Mitt Romney,"Thank you, Jim. Its an honor to be here with you, and I appreciate the chance to be with the president. Im pleased to be at the University of Denver, appreciate their welcome, and also the Presidential Commission on these debates. And congratulations to you, Mr. President, on your anniversary. Im sure this was the most romantic place you could imagine, here — here with me. So I… (LAUGHTER) Congratulations. This is obviously a very tender topic. Ive had the occasion over the last couple of years of meeting people across the country. I was in Dayton, Ohio, and a woman grabbed my arm and she said, “Ive been out of work since May. Can you help me? ” Ann yesterday was at a rally in Denver and a woman came up to her with a baby in her arms and said, “Ann, my husband has had four jobs in three years, part- time jobs. Hes lost his most recent job and weve now just lost our home. Can you help us? ” And the answer is, yes, we can help, but its going to take a different path. Not the one weve been on, not the one the president describes as a top- down, cut taxes for the rich. Thats not what Im going to do. My plan has five basic parts. One, get us energy independent, North American energy independent. That creates about 4 million jobs. Number two, open up more trade, particularly in Latin America. Crack down on China, if and when they cheat. Number three, make sure our people have the skills they need to succeed and the best schools in the world. Were far away from that now. Number four, get to us a balanced budget. Number five, champion small business. Its small business that creates the jobs in America, and over the last four years, small business people have decided that America may not be the place to open a new business because new business startups are down to a 30- year low.",Pres,2012.0,2012-10-03,1.0,What are the key components of the speaker's plan to address unemployment and create jobs in America?
Mitt Romney,"Now, Im concerned that the path that were on has just been unsuccessful. The president has a view very similar to the view he had when he ran four years, that a bigger government, spending more, taxing more, regulating more — if you will, trickle- down government — would work. Thats not the right answer for America. Ill restore the vitality that gets America working again. Thank you.",Pres,2012.0,2012-10-03,1.0,What is the speaker's perspective on the current government's approach to economic management?
Jim Lehrer,"Mr. President, please respond directly to what the governor just said about trickle- down — his trick- down approach, as he said yours is.",Pres,2012.0,2012-10-03,0.0,
Barack Obama,"Well, let me talk specifically about what I think we need to do. First, weve got to improve our education system and weve made enormous progress drawing on ideas both from Democrats and Republicans that are already starting to show gains in some of the toughest to deal with schools. Weve got a program called Race to the Top that has prompted reforms in 46 states around the country, raising standards, improving how we train teachers. So now I want to hire another 100, 000 new math and science teachers, and create 2 million more slots in our community colleges so that people can get trained for the jobs that are out there right now. And I want to make sure that we keep tuition low for our young people. When it comes to our tax code, Governor Romney and I both agree that our corporate tax rate is too high, so I want to lower it, particularly for manufacturing, taking it down to 25 percent. But I also want to close those loopholes that are giving incentives for companies that are shipping jobs overseas. I want to provide tax breaks for companies that are investing here in the United States. On energy, Governor Romney and I, we both agree that weve got to boost American energy production, and oil and natural gas production are higher than theyve been in years. But I also believe that weve got to look at the energy sources of the future, like wind and solar and biofuels, and make those investments.",Pres,2012.0,2012-10-03,1.0,What specific actions should be taken to improve the education system and promote job training in the United States?
Barack Obama,"So all of this is possible. Now, in order for us to do it, we do have to close our deficit, and one of the things Im sure well be discussing tonight is, how do we deal with our tax code? And how do we make sure that we are reducing spending in a responsible way, but also, how do we have enough revenue to make those investments? And this is where theres a difference, because Governor Romneys central economic plan calls for a $5 trillion tax cut — on top of the extension of the Bush tax cuts — thats another trillion dollars — and $2 trillion in additional military spending that the military hasnt asked for. Thats $8 trillion. How we pay for that, reduce the deficit, and make the investments that we need to make, without dumping those costs onto middle- class Americans, I think is one of the central questions of this campaign.",Pres,2012.0,2012-10-03,1.0,What are the key challenges in achieving deficit reduction while ensuring sufficient revenue for investments?
