speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit,winner
Edwin Newman,"Good evening. Im Edwin Newman, moderator of this first debate of the 1976 campaign between Gerald R. Ford of Michigan, Republican candidate for president, and Jimmy Carter of Georgia, Democratic candidate for president. We thank you, President Ford and we thank you, Governor Carter, for being with us tonight. There are to be three debates between the presidential candidates and one between the vice- presidential candidates. All are being arranged by the League of Women Voters Education Fund. Tonights debate, the first between presidential candidates in sixteen years and the first ever in which an incumbent president has participated, is taking place before an audience in the Walnut Street Theater in Philadelphia, just three blocks from Independence Hall. The television audience may reach a hundred million in the United States and many millions overseas. Tonights debate focuses on domestic issues and economic policy. Questions will be put by Frank Reynolds of ABC News, James Gannon of the Wall Street Journal, and Elizabeth Drew of the New Yorker magazine. Under the agreed rules the first question will go to Governor Carter. That was decided by the toss of a coin. He will have up to three minutes to answer. One follow- up question will be permitted with up to two minutes to reply. President Ford will then have two minutes to respond. The next question will go to President Ford with the same time arrangements, and questions will continue to be alternated between the candidates. Each man will make a three- minute statement at the end, Governor Carter to go first. President Ford and Governor Carter do not have any notes or prepared remarks with them this evening. Mr. Reynolds, your question for Governor Carter.",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Frank Reynolds,"Mr. President, Governor Carter. Governor, in an interview with the Associated Press last week, you said you believed these debates would alleviate a lot of concern that some voters have about you. Well, one of those concerns, not an uncommon one about uh – candidates in any year, is that many voters say they dont really know where you stand. Now, you have made jobs your number one priority and you have said you are committed to a drastic reduction in unemployment. Can you say now, Governor, in specific terms, what your first step would be next January, if you are elected, to achieve that.",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Jimmy Carter,"Yes. First of all is to recognize a tremendous economic strength in this country and to set the putting to – back to work of our people as a top priority. This is uh – an effort that ought to be done primarily by strong leadership in the White House, the inspiration of our people, the tapping of uh – business, agriculture, industry, labor and government at all levels to work on this uh project. Well never have uh – an end to the inflationary spiral, and well never have a balanced budget until we get our people back to work. There are several things that can be done specifically that are not now being done. First of all, to channel research and development funds into areas that will provide uh large numbers of jobs. Secondly, we need to have a commitment in the uh private sector uh – to cooperate with government in matters like housing. Here a very small investment of taxpayers money – in the housing field can bring large numbers of extra jobs, and the guarantee of mortgage loans, and the uh – putting forward of uh – two- 0- two programs for housing for older people and so forth to cut down the roughly 20 percent unemployment that now exists in the – in the construction industry. Another thing is to deal with our – uh needs in the central cities, where the unemployment rate is extremely high; sometimes among minority groups, or those who dont speak English, or whore black, or young people, or – 40 percent of the employment. Here a CCC type program would be appropriate to channel money into the ah – cha- in – in into the sharing with the private sector and also local and state governments to employ young people who are now out of work. Another very important – uh aspect of our – uh economy would be to increase production in every way possible, uh to hold down – uh taxes on individuals, and to uh shift the tax burdens onto those who have avoided paying taxes in the past. These uh – kinds of specific things, uh none of which are being done now, would be a great help in – in reducing uh unemployment. There is uh – uh an additional factor that needs to be done and covered very – very succinctly, and that is, to make sure that we have a good relationship between management – business on the one hand, and labor, on the other. In a > Transfer interrupted! ery high, we might channel specific uh targeted job – job – uh opportunities by paying part of the salary of unemployed people – uh and also sharing with uh – local governments the uh – payment of salaries which would uh – let us cut down the unemployment rate much lower, before we hit the inflationary level. But I believe that by the end of the first four years of uh – of the next term we could have the unemployment down to 3 percent adult unemployment, which is about uh – 4 to 4 and a half percent overall uh controlled inflation rate and have a uh balance of growth of about – uh 4 to 6 percent, around 5 percent which would give us a balanced budget.",Pres,1976,1976-09-23,1,What strategies should be implemented to reduce unemployment and achieve a balanced budget?,"Mr. President, Governor Carter. Governor, in an interview with the Associated Press last week, you said you believed these debates would alleviate a lot of concern that some voters have about you. Well, one of those concerns, not an uncommon one about uh – candidates in any year, is that many voters say they dont really know where you stand. Now, you have made jobs your number one priority and you have said you are committed to a drastic reduction in unemployment. Can you say now, Governor, in specific terms, what your first step would be next January, if you are elected, to achieve that.",0.857681632,0.9232593775,0.7974404097,0.6399073601,Democratic,"What would your first step be next January, if you are elected, to achieve a drastic reduction in unemployment?",3.0,3.0,1.0
Frank Reynolds,"Governor, uh – in the event you are successful and you do achieve a drastic drop",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Jimmy Carter,"Yes, in unemployment that is likely to create additional pressure on prices, how willing are you to consider an incomes policy, in other words, wage and price controls?",Pres,1976,1976-09-23,1,,,,,,,Democratic,,,,1.0
Jimmy Carter,"Well – we now have such uh – a low utilization of uh – our productive capacity – uh about 73 percent; I think its about the lowest since the Great Depression years – and such a high unemployment rate now – uh 7. 9 percent – that – uh we have a long way to go in getting people to work before we have the inflationary pressures. And I think this would uh – this would be uh easy to accomplish, to get jobs down, without having strong in- inflationary pressures that – that would be necessary. I would not favor the uh – payment of uh – of a given fixed income to people unless they are not able to work. But with tax incentives for the low- income groups we could build up their uh – income levels uh – above the poverty level and not uh make welfare more uh – profitable than – than work.",Pres,1976,1976-09-23,1,,,,,,,Democratic,,,,1.0
Edwin Newman,"Mr. President, your response.",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Gerald Ford,"I dont believe that uh that Mr. Carters been any more specific in this case than he has been on many other instances. I notice particularly that he didnt endorse the Humphrey- Hawkins bill which he has on occasions and which is included as a part of the Democratic platform. That legislation uh allegedly would help our unemployment, but uh – we all know that it wouldve controlled our economy, it wouldve added uh – ten to thirty billion dollars each year in additional expenditures by the Federal Government. It wouldve called for export controls on agricultural products In my judgment the best way to get jobs is to uh – expand the private sector, where five out of six jobs today exist in our economy. We can do that by reducing Federal taxes as I proposed uh – about a year ago when I called for a tax reduction of $28 billion – three- quarters of it to go to private uh taxpayers and uh one- quarter to the business sector. We could add to jobs in the major metropolitan areas by a proposal that I recommended that would give tax incentives to business to move into the inner city and to expand or to build new plants so that they would take a plant, or expand a plant where people are, and people are currently unemployed. We could uh – also uh – help our youths with some of the proposals that uh – would give to young people an opportunity to work and learn at the same time just like we give money to young people who are going to college. Those are the kind of specifics that I think we have to discuss on these uh – debates, and these are the kind of programs that Ill talk about on my time.",Pres,1976,1976-09-23,1,,,,,,,Republican,,,,0.0
Edwin Newman,"Mr. Gannon, your question to President Ford.",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
James Gannon,"Mr. President, I would like to continue for a moment on this uh question of taxes which you have just raised. You have said that you favor more tax cuts for middle- income Americans – even those earning up to $30 thousand a year. That presumably would cost the Treasury quite a bit of money in lost revenue. In view of the very large budget deficits that you have accumulated and that are still in prospect, how is it possible to promise further tax cuts and to reach your goal of balancing the budget?",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Gerald Ford,"At the time, Mr. Gannon, that I made the recommendation for a $28 billion tax cut – three- quarters of it to go to individual taxpayers and 25 percent to American business. I said at the time that we had to hold the lid an federal spending, that for every dollar of a tax reduction we had to have an equal reduction in federal expenditures – a one- for- one proposition. And I recommended that to the Congress with a budget ceiling of three hundred and ninety- five billion dollars, and that would have permitted us to have a $25 billion tax reduction. In my tax reduction program for middle- income taxpayers, I recommended that the Congress increase personal exemptions from seven hundred and fifty dollars per person to one thousand dollars per person. That would mean, of course, that for a family of four that that family would have a thousand dollars more personal exemption – money that they could spend for their own purposes, money that the government wouldnt have to spend. But if we keep the lid on federal spending, which I think we can – with the help of the Congress, we can justify fully a $28 billion tax reduction. In the budget that I submitted to the Congress in January this year, I re- recommended a 50 percent cutback in the rate of growth of federal spending. For the last ten years the budget of the United States has grown from uh – about 11 percent per year. We cant afford that kind of growth in federal spending. And in the budget that I recommended we cut it in half – a growth rate of 5 to 5 and one- half percent. With that kind of limitation, on federal spending, we can fully justify the tax reductions that I have proposed. And it seems to me with the stimulant of more money in the hands of the taxpayers, and with more money in the hands of business to expand, to modernize, to provide more jobs, our economy stimulated so that well get more revenue and well have a more prosperous economy.",Pres,1976,1976-09-23,1,How can a $28 billion tax cut be justified while effectively controlling federal spending?,"Mr. President, I would like to continue for a moment on this uh question of taxes which you have just raised. You have said that you favor more tax cuts for middle- income Americans – even those earning up to $30 thousand a year. That presumably would cost the Treasury quite a bit of money in lost revenue. In view of the very large budget deficits that you have accumulated and that are still in prospect, how is it possible to promise further tax cuts and to reach your goal of balancing the budget?",0.9571626782,0.9445696473,0.8953771591,0.7020019293,Republican,How is it possible to promise further tax cuts for middle-income Americans and to balance the budget?,3.0,3.0,0.0
James Gannon,"Mr. President, to follow up a moment, uh – the Congress has passed a tax bill which is before you now, which did not meet exactly the uh – sort of outline that you requested. What is your intention on that bill, uh – since it doesnt meet your – your requirements? Do you plan to sign that bill?",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Gerald Ford,"That tax bill does not entirely meet the criteria that I established. I think the Congress should have uh – added another $10 billion reduction in personal income taxes, including the increase of personal exemptions from seven hundred and fifty to a thousand dollars. And Congress could have done that if the budget committees of the Congress, and the Congress as a whole, had not increased the spending that I recommended in the budget. Im sure that you know that in the resolutions passed by the Congress, that have added about $17 billion in more spending, by the Congress over the budget that I recommended. So I would prefer in that tax bill to have an additional tax cut and a further limitation on federal spending. Now this tax bill – that hasnt reached the White House yet, but is expected in a day or two – its about fifteen hundred pages. It has some good provisions in it. It has – uh left out some that I have recommended, unfortunately. On the other hand, uh when you have a bill of that magnitude, with – tho- those many provisions, a president has to sit and decide if theres more good than bad. And from the a- analysis that Ive made so far, it seems to me that that tax bill does uh – justify my signature and my approval.",Pres,1976,1976-09-23,1,What adjustments would you recommend for the tax bill to better align with your criteria?,"Mr. President, to follow up a moment, uh – the Congress has passed a tax bill which is before you now, which did not meet exactly the uh – sort of outline that you requested. What is your intention on that bill, uh – since it doesnt meet your – your requirements? Do you plan to sign that bill?",0.9375827312,0.9275560975,0.8261649609,0.6056450605,Republican,What is your intention on the tax bill that Congress has passed?,2.0,3.0,0.0
Edwin Newman,"Governor Carter, your response.",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Jimmy Carter,"Well, Mr. Ford is – is uh changing uh considerably his previous philosophy. The present tax structure is a disgrace to this country; its just a welfare program for the rich. As a matter of fact, uh – 25 percent of the total tax deductions, go for only 1 percent of the richest people in this country, and over 50 percent of the tax uh credits go for the 14 percent of the richest people in this country. When Mr. Ford first became president in – in August of 1974, the first thing he did in – in October was to ask for a $4. 7 billion increase in taxes on our people in the midst of the heaviest recession, since uh – since the great depression of nineteen uh – of the 1940s. In uh – January of 1975 he asked for a tax change; a $5. 6 billion increase on low- and- middle- income private individuals, a six and a half billion dollar decrease on the corporations and the special interests. In uh – December of uh – 1975 he vetoed the roughly 18 to 20 billion dollar uh tax- reduction bill that had been passed by the Congress, and then he came back later on in January of this year and he did advocate a $10 billion tax reduction, but it would be offset by a $6 billion increase this coming January in deductions for Social Security payments and for unemployment compensation. The whole philosophy of the Republican party, including uh – my opponent, has been to pile on taxes on low- income people to take em off on the corporations. As a matter fact, in – sin- since the late sixties when Mr. Nixon took office, weve had a reduction in uh – in the percentage of taxes paid by corporations from 30 percent down to about 20 percent. Weve had an increase in taxes paid by individuals, payroll taxes, from14 Percent up to 20 percent. And this is what the Republicans have done to us. And this is why a tax reform is so important.",Pres,1976,1976-09-23,1,,,,,,,Democratic,,,,1.0
Edwin Newman,"Mrs. Drew, your question to Governor Carter.",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Elizabeth Drew,"Uh Governor Carter, you proposed a number of new or enlarged programs, including jobs, health, welfare reform, child care, aid to education, aid to cities, changes in social security and housing subsidies. Youve also said that you wanna balance the budget by the end of your first term. Now you havent put a price tag on those programs, but even if we price them conservatively and we count for full employment by the end of your first term, and we count for the economic growth that would occur during that period, there still isnt enough money to pay for those programs and balance the budget by any – any estimates that Ive been able to see. So, in that case what would give?",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Jimmy Carter,"Well, as a matter of fact there is. If we assume the ah – uh – a rate of growth of our economy, equivalent to what it was during President Johnson, President Kennedy, even before the – the – the – uh wa uh – Vietnese- namese War, and if we assume that at the end of the four- year period we can cut our unemployment rate down to 4 to 4 and a half percent – under those circumstances, even assuming no elimination of unnecessary programs and assuming an increase in the ad- in the allotment of money to finance programs, increasing as the inflation rate does – my economic projections, I think confirmed by the House uh – and the Senate committees, have been with the $60 billion extra amount of money that can be spent in fiscal year 81 which will be the last year of this next term. Within that sixty- billion dollars increase there would be fit the programs that I promised the American people. I might say too, that – that if we see that these goals cannot be reached – and I believe theyre reasonable goals – then I would cut back on the rate of implement- implementation of new programs in order to accommodate a balanced budget by fiscal year 81 which is the last year of the next term. I believe that we ought to have a balanced budget during normal economic circumstances. And uh – these projections have been very carefully made. I stand behind them. And if they should be in error slightly on the down side, then Ill phase in the programs that weve uh – advocated, more slowly.",Pres,1976,1976-09-23,1,How can we achieve a balanced budget by fiscal year 1981 while funding proposed programs and reducing unemployment?,"Uh Governor Carter, you proposed a number of new or enlarged programs, including jobs, health, welfare reform, child care, aid to education, aid to cities, changes in social security and housing subsidies. Youve also said that you wanna balance the budget by the end of your first term. Now you havent put a price tag on those programs, but even if we price them conservatively and we count for full employment by the end of your first term, and we count for the economic growth that would occur during that period, there still isnt enough money to pay for those programs and balance the budget by any – any estimates that Ive been able to see. So, in that case what would give?",0.832157433,0.9220694304,0.8387458324,0.6430397034,Democratic,What would give in your plan to balance the budget while implementing your proposed programs?,1.0,3.0,1.0
Elizabeth Drew,"Governor, uh – according to the budget committees of the Congress tha- tha- tha- that you referred to, if we get to full employment – what they project at a 4 percent unemployment – and, as you say, even allowing for the inflation in the programs, there would not be anything more than a surplus of $5 billion by the end of ninet- by 1981. And conservative estimates of your programs would be that theyd be about 85 to a hundred billion dollars. So how – how do you say that youre going to be able to do these things and balance the budget?",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
Jimmy Carter,"Well, the uh – the assumption that – that you uh – have described as different is in the rate of growth of our economy.",Pres,1976,1976-09-23,1,,,,,,,Democratic,,,,1.0
Elizabeth Drew,"No, they took that into account in those figures.",Pres,1976,1976-09-23,0,,,,,,,Moderator,,,,
