speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit
Moderator,"Good evening from the Clark Athletic Center at the University of Massachusetts in Boston. Im Jim Lehrer of the NewsHour on PBS, and I welcome you to the first of three 90- minute debates between the Democratic candidate for president, Vice President Al Gore and the Republican candidate, Governor George W. Bush of Texas. The debates are sponsored by the Commission on Presidential Debates and they will be conducted within formats and rules agreed to between the commission and the two campaigns. Well have the candidates at podiums. No answer to a question can exceed two minutes. Rebuttal is limited to one minute. But as moderator I have the option to follow up and to extend any particular give and take another three- and- a- half minutes. Even then, no single answer can exceed two minutes. The candidates under their rules may not question each other directly. There will be no opening statements, but each candidate may have up to two minutes for a closing statement. The questions and the subjects were chosen by me alone. I have told no one from the two campaigns, or the Commission, or anyone else involved what they are. There is a small audience in the hall tonight. They are not here to participate, only to listen. I have asked, and they have agreed, to remain silent for the next 90 minutes. Except for right now, when they will applaud as we welcome the two candidates, Governor Bush and Vice President Gore. (Applause)",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Moderator,"And now the first question as determined by a flip of a coin, it goes to Vice President Gore. Vice President Gore, you have questioned whether Governor Bush has the experience to be President of the United States. What exactly do you mean?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Well, Jim, first of all, I would like to thank the sponsors of this debate and the people of Boston for hosting the debate. I would like to thank Governor Bush for participating, and I would like to say Im happy to be here with Tipper and our family. I have actually not questioned Governor Bushs experience. I have questioned his proposals. And here is why. I think this is a very important moment for our country. We have achieved extraordinary prosperity. And in this election, America has to make an important choice. Will we use our prosperity to enrich not just the few, but all of our families? I believe we have to make the right and responsible choices. If Im entrusted with the presidency, here are the choices that I will make. I will balance the budget every year. I will pay down the national debt. I will put Medicare and Social Security in a lockbox and protect them. And I will cut taxes for middle- class families. I believe its important to resist the temptation to squander our surplus. If we make the right choices, we can have a prosperity that endures and enriches all of our people. If Im entrusted with the presidency, I will help parents and strengthen families because, you know, if we have prosperity that grows and grows, we still wont be successful unless we strengthen families by, for example, ensuring that children can always go to schools that are safe. By giving parents the tools to protect their children against cultural pollution. I will make sure that we invest in our country and our families. And I mean investing in education, health care, the environment, and middle- class tax cuts and retirement security. That is my agenda and that is why I think that its not just a question of experience.",Pres,2000,2000-10-03,1,What are the key choices and proposals being presented in this election to ensure that prosperity benefits all American families?,"And now the first question as determined by a flip of a coin, it goes to Vice President Gore. Vice President Gore, you have questioned whether Governor Bush has the experience to be President of the United States. What exactly do you mean?",0.8907305002,0.9164068699,0.7480469942,0.2548038363,Democratic,What do you mean when you question whether Governor Bush has the experience to be President?,2,
Moderator,"Governor Bush, one minute rebuttal.",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Well, we do come from different places. I come from West Texas. The governor is the chief executive officer. We know how to set agendas. I think youll find the difference reflected in our budgets. I want to take one- half of the surplus and dedicate it to Social Security. One- quarter of the surplus for important projects, and I want to send one- quarter of the surplus back to the people who pay the bills. I want everybody who pays taxes to have their tax rates cut. And that stands in contrast to my worthy opponents plan, which will increase the size of government dramatically. His plan is three times larger than President Clintons proposed plan eight years ago. It is a plan that will have 200 new programs — expanded programs and creates 20, 000 new bureaucrats. It it empowers Washington. Tonight youâ€™re going to hear that my passion and my vision is to empower Americans to be able to make decisions for themselves in their own lives.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"So I take it by your answer, then, Mr. Vice President, that in an interview recently with the “New York Times” when you said that you questioned whether or not Governor Bush has experience enough to be president, you were talking about strictly policy differences.",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Yes, Jim. I said that his tax cut plan, for example, raises the question of whether its the right choice for the country. And let me give you an example of what I mean. Under Governor Bushs tax cut proposal, he would spend more money on tax cuts for the wealthiest 1% than all of the new spending that he proposes for education, health care, prescription drugs and national defense all combined. Now, I think those are the wrong priorities. Now, under my proposal, for every dollar that I propose in spending for things like education and health care, I will put another dollar into middle class tax cuts. And for every dollar that I spend in those two categories, Ill put $2 toward paying down the national debt. I think its very important to keep the debt going down and completely eliminate it. And I also think its very important to go to the next stage of welfare reform. Our country has cut the welfare rolls in half. I fought hard from my days in the Senate and as vice president to cut the welfare rolls and weve moved millions of people in America into good jobs. But its now time for the next stage of welfare reform, and include fathers and not only mothers.",Pres,2000,2000-10-03,1,"What are the implications of the tax cut plans on national priorities such as education, health care, and welfare reform?","So I take it by your answer, then, Mr. Vice President, that in an interview recently with the “New York Times” when you said that you questioned whether or not Governor Bush has experience enough to be president, you were talking about strictly policy differences.",0.8310561776,0.9085456133,0.7235556841,0.2567176521,Democratic,Were you talking about strictly policy differences when you questioned Governor Bush's experience to be president?,2,
Moderator,Were going to get a lot of those.,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,Let me just say that obviously tonight were going to hear some phony numbers about what I think and what we ought to do. People need to know that over the next ten years it is going to be $25 trillion of revenue that comes into our treasurey and we anticipate spending $21 trillion. And my plan say why dont we pass 1. 3 trillion of that back to the people who pay the bills? Surely we can afford 5% of the $25 trillion that are coming into the treasury to the hard working people that pay the bills. There is a difference of opinion. My opponent thinks the government — the surplus is the governments money. Thats not what I think. I think its the hard- working people of Americas money and I want to share some of that money with you so you have more money to build and save and dream for your families. Its a difference of opinion. Its a difference between government making decisions for you and you getting more of your money to make decisions for yourself.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"Let me just follow up one quick question. When you hear Vice President Gore question your experience, do you read it the same way, that hes talking about policy differences only?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
